StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Neuroticism_1,Neuroticism_2,NeedClosure1,NeedClosure2,NeedClosure3,NeedClosure4,NeedClosure5,NeedClosure6,NeedClosure7,NeedClosure8,NeedClosure9,NeedClosure10,NeedClosure11,NeedClosure12,NeedClosure13,NeedClosure14,NeedClosure15,PatternDevA_1,PatternDevA_2,PatternDevA_3,PatternDevB_1,PatternDevB_2,PatternDevB_3,PatternDevC_1,PatternDevC_2,PatternDevC_3,PatternDevD_1,PatternDevD_2,PatternDevD_3,PatternDevE_1,PatternDevE_2,PatternDevE_3,SocialDevA_1,SocialDevA_2,SocialDevA_3,SocialDevB_1,SocialDevB_2,SocialDevB_3,SocialDevC_1,SocialDevC_2,SocialDevC_3,SocialDevD_1,SocialDevD_2,SocialDevD_3,SocialDevE_1,SocialDevE_2,SocialDevE_3,AttentionCheck1,AttentionCheck2,AttentionCheck2_8_TEXT,Education,Income,EconomicOrientation,Age,SocialOrientation,Gender,Gender_3_TEXT,PoliticalOrientation,Q3_8_TEXT - Topics,FL_13_DO,FL_28_DO,FL_10_DO,FL_24_DO,"NeedforClosure(Roets,&VanHiel,2011)_DO"
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,"I see myself as someone who... - Is relaxed, handles stress well",I see myself as someone who... - Gets nervous easily,I don't like situations that are uncertain.,"I
dislike questions which could be answered in many different ways.","I find that a well ordered life with regular hours suits my
  temperament.","I
feel uncomfortable when I don't understand the reason why an event occurred in
my life.","I
feel irritated when one person disagrees with what everyone else in a group
believes.","I
don't like to go into a situation without knowing what I can expect from it.","When I have made a decision, I feel relieved.","When I am confronted with a problem, I’m dying
to reach a solution very quickly.","I would quickly become impatient and irritated
if I would not find a solution to a problem immediately.","I
don't like to be with people who are capable of unexpected actions.","I
dislike it when a person's statement could mean many different things.",I find that establishing a consistent routine enables me to enjoy life more.,"I
enjoy having a clear and structured mode of life.","I
do not usually consult many different opinions before forming my own view.","I
dislike unpredictable situations.",The above image makes me... - Feel uncomfortable,The above image makes me... - Feel anxious,The above image makes me... - Feel annoyed,The above image makes me... - Feel uncomfortable,The above image makes me... - Feel anxious,The above image makes me... - Feel annoyed,The above image makes me... - Feel uncomfortable,The above image makes me... - Feel anxious,The above image makes me... - Feel annoyed,The above image makes me... - Feel uncomfortable,The above image makes me... - Feel anxious,The above image makes me... - Feel annoyed,The above image makes me... - Feel uncomfortable,The above image makes me... - Feel anxious,The above image makes me... - Feel annoyed,The above image makes me... - Feel uncomfortable,The above image makes me... - Feel anxious,The above image makes me... - Feel annoyed,The above image makes me... - Feel uncomfortable,The above image makes me... - Feel anxious,The above image makes me... - Feel annoyed,The above image makes me... - Feel uncomfortable,The above image makes me... - Feel anxious,The above image makes me... - Feel annoyed,The above image makes me... - Feel uncomfortable,The above image makes me... - Feel anxious,The above image makes me... - Feel annoyed,The above image makes me... - Feel uncomfortable,The above image makes me... - Feel anxious,The above image makes me... - Feel annoyed,I was focused while filling out this survey,"People vary in the amount they pay attention to these kinds of surveys. Some take them seriously and read each question, whereas others go very quickly and barely read the questions at all. If you have read this question carefully, please write the word yes in the blank box below labeled other. There is no need for you to respond to the scale below. - Selected Choice","People vary in the amount they pay attention to these kinds of surveys. Some take them seriously and read each question, whereas others go very quickly and barely read the questions at all. If you have read this question carefully, please write the word yes in the blank box below labeled other. There is no need for you to respond to the scale below. - Other - Text",What is your level of education?,What is your income?,"In terms of economic issues, how liberal or conservative are you?",What is your age?,"In terms of social and cultural issues, how liberal or conservative are you?",What is your gender? - Selected Choice,What is your gender? - Other - Text,Where on the following scale of political orientation would you place yourself?,Q3_8_TEXT - Topics,FL_13 - Block Randomizer - Display Order,FL_28 - Block Randomizer - Display Order,FL_10 - Block Randomizer - Display Order,FL_24 - Block Randomizer - Display Order,"Need for Closure (Roets, & Van Hiel, 2011) - Display Order"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID5""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID3_8_TEXT_69e2487ba6894fe892e6993cTopics""}","{""ImportId"":""FL_13_DO""}","{""ImportId"":""FL_28_DO""}","{""ImportId"":""FL_10_DO""}","{""ImportId"":""FL_24_DO""}","{""ImportId"":""BL_aabWb8nSOxRhyND_DO""}"
11/30/18 16:18,11/30/18 16:20,0,100,118,1,11/30/18 16:20,,,,,anonymous,EN,4,4,5,4,5,4,5,3,4,4,4,3,5,5,3,5,3,6,5,6,3,2,3,2,2,3,6,6,6,3,2,3,4,3,3,7,7,7,3,3,3,3,5,3,6,5,6,7,8,yes,4,2,5,29,5,1,,5,,"NeedforClosure(Roets,&VanHiel,2011)|Neuroticism(Rammstedt&John,2007)",FL_24|FL_10,PatternDeviancyAversionD|PatternDeviancyAversionA|PatternDeviancyAversionC|PatternDeviancyAversionE|PatternDeviancyAversionB,SocialDeviancyAversionD|SocialDeviancyAversionA|SocialDeviancyAversionC|SocialDeviancyAversionE|SocialDeviancyAversionB,NeedClosure1|NeedClosure2|NeedClosure15|NeedClosure7|NeedClosure9|NeedClosure6|NeedClosure5|NeedClosure11|NeedClosure13|NeedClosure12|NeedClosure10|NeedClosure8|NeedClosure4|NeedClosure3|NeedClosure14
11/30/18 16:18,11/30/18 16:21,0,100,182,1,11/30/18 16:21,,,,,anonymous,EN,5,4,5,4,4,5,5,6,6,6,6,6,5,4,4,6,6,1,1,3,1,1,2,1,1,3,1,1,2,1,1,2,1,1,1,6,3,1,2,1,1,1,1,1,3,1,1,7,8,Yes,3,3,9,30,9,2,,9,,"NeedforClosure(Roets,&VanHiel,2011)|Neuroticism(Rammstedt&John,2007)",FL_24|FL_10,PatternDeviancyAversionD|PatternDeviancyAversionE|PatternDeviancyAversionC|PatternDeviancyAversionA|PatternDeviancyAversionB,SocialDeviancyAversionD|SocialDeviancyAversionE|SocialDeviancyAversionA|SocialDeviancyAversionC|SocialDeviancyAversionB,NeedClosure15|NeedClosure8|NeedClosure2|NeedClosure4|NeedClosure3|NeedClosure5|NeedClosure12|NeedClosure6|NeedClosure9|NeedClosure11|NeedClosure13|NeedClosure7|NeedClosure1|NeedClosure10|NeedClosure14
11/30/18 16:18,11/30/18 16:21,0,100,197,1,11/30/18 16:21,,,,,anonymous,EN,5,2,6,6,6,5,2,6,1,5,2,6,6,6,6,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,4,1,3,7,8,yes,4,3,9,45,9,2,,9,,"Neuroticism(Rammstedt&John,2007)|NeedforClosure(Roets,&VanHiel,2011)",FL_10|FL_24,PatternDeviancyAversionC|PatternDeviancyAversionD|PatternDeviancyAversionB|PatternDeviancyAversionE|PatternDeviancyAversionA,SocialDeviancyAversionD|SocialDeviancyAversionA|SocialDeviancyAversionB|SocialDeviancyAversionC|SocialDeviancyAversionE,NeedClosure6|NeedClosure15|NeedClosure12|NeedClosure13|NeedClosure7|NeedClosure14|NeedClosure9|NeedClosure10|NeedClosure4|NeedClosure3|NeedClosure2|NeedClosure1|NeedClosure8|NeedClosure5|NeedClosure11
11/30/18 16:19,11/30/18 16:21,0,100,169,1,11/30/18 16:21,,,,,anonymous,EN,5,3,4,3,5,4,1,2,4,5,4,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,yes,2,2,4,30,4,1,,4,,"Neuroticism(Rammstedt&John,2007)|NeedforClosure(Roets,&VanHiel,2011)",FL_24|FL_10,PatternDeviancyAversionA|PatternDeviancyAversionC|PatternDeviancyAversionE|PatternDeviancyAversionD|PatternDeviancyAversionB,SocialDeviancyAversionC|SocialDeviancyAversionD|SocialDeviancyAversionA|SocialDeviancyAversionE|SocialDeviancyAversionB,NeedClosure9|NeedClosure10|NeedClosure12|NeedClosure6|NeedClosure13|NeedClosure7|NeedClosure2|NeedClosure4|NeedClosure11|NeedClosure5|NeedClosure8|NeedClosure3|NeedClosure14|NeedClosure15|NeedClosure1
11/30/18 16:18,11/30/18 16:21,0,100,197,1,11/30/18 16:21,,,,,anonymous,EN,2,5,6,5,5,5,5,6,6,5,5,6,5,5,5,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,5,2,6,6,1,7,4,1,5,7,8,yes,6,2,2,32,2,2,,2,,"NeedforClosure(Roets,&VanHiel,2011)|Neuroticism(Rammstedt&John,2007)",FL_10|FL_24,PatternDeviancyAversionE|PatternDeviancyAversionA|PatternDeviancyAversionD|PatternDeviancyAversionC|PatternDeviancyAversionB,SocialDeviancyAversionD|SocialDeviancyAversionA|SocialDeviancyAversionC|SocialDeviancyAversionE|SocialDeviancyAversionB,NeedClosure4|NeedClosure9|NeedClosure6|NeedClosure10|NeedClosure8|NeedClosure1|NeedClosure11|NeedClosure12|NeedClosure2|NeedClosure15|NeedClosure7|NeedClosure13|NeedClosure14|NeedClosure5|NeedClosure3
11/30/18 16:19,11/30/18 16:22,0,100,168,1,11/30/18 16:22,,,,,anonymous,EN,5,1,3,2,5,2,2,4,4,5,4,4,2,4,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,4,3,1,1,1,1,1,1,1,1,7,8,yes,5,3,4,23,4,1,,3,,"Neuroticism(Rammstedt&John,2007)|NeedforClosure(Roets,&VanHiel,2011)",FL_24|FL_10,PatternDeviancyAversionD|PatternDeviancyAversionC|PatternDeviancyAversionE|PatternDeviancyAversionB|PatternDeviancyAversionA,SocialDeviancyAversionB|SocialDeviancyAversionE|SocialDeviancyAversionD|SocialDeviancyAversionC|SocialDeviancyAversionA,NeedClosure11|NeedClosure10|NeedClosure12|NeedClosure8|NeedClosure9|NeedClosure15|NeedClosure7|NeedClosure13|NeedClosure4|NeedClosure6|NeedClosure2|NeedClosure14|NeedClosure5|NeedClosure3|NeedClosure1
11/30/18 16:18,11/30/18 16:22,0,100,224,1,11/30/18 16:22,,,,,anonymous,EN,5,1,6,1,6,6,1,6,6,6,6,6,1,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,7,1,1,7,1,1,1,1,1,7,8,yes,5,2,1,26,1,1,,1,,"NeedforClosure(Roets,&VanHiel,2011)|Neuroticism(Rammstedt&John,2007)",FL_24|FL_10,PatternDeviancyAversionA|PatternDeviancyAversionC|PatternDeviancyAversionB|PatternDeviancyAversionE|PatternDeviancyAversionD,SocialDeviancyAversionD|SocialDeviancyAversionA|SocialDeviancyAversionE|SocialDeviancyAversionC|SocialDeviancyAversionB,NeedClosure7|NeedClosure11|NeedClosure14|NeedClosure5|NeedClosure13|NeedClosure12|NeedClosure3|NeedClosure6|NeedClosure10|NeedClosure8|NeedClosure15|NeedClosure4|NeedClosure9|NeedClosure1|NeedClosure2
11/30/18 16:21,11/30/18 16:22,0,100,87,1,11/30/18 16:22,,,,,anonymous,EN,4,2,5,5,4,5,3,5,5,4,4,3,5,4,5,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,6,6,6,7,8,yes,5,3,2,32,3,1,,2,,"Neuroticism(Rammstedt&John,2007)|NeedforClosure(Roets,&VanHiel,2011)",FL_24|FL_10,PatternDeviancyAversionB|PatternDeviancyAversionC|PatternDeviancyAversionE|PatternDeviancyAversionD|PatternDeviancyAversionA,SocialDeviancyAversionE|SocialDeviancyAversionC|SocialDeviancyAversionB|SocialDeviancyAversionA|SocialDeviancyAversionD,NeedClosure8|NeedClosure1|NeedClosure13|NeedClosure15|NeedClosure6|NeedClosure12|NeedClosure4|NeedClosure9|NeedClosure2|NeedClosure11|NeedClosure14|NeedClosure10|NeedClosure5|NeedClosure7|NeedClosure3
